Date,Price,Volume,Market_cap
2024-04-23 00:00:00 UTC+0,0.00011131,46564020.418788,648146757.51588180
2024-04-22 00:00:00 UTC+0,0.00011094,19544450.290377,645430920.39816070
2024-04-21 00:00:00 UTC+0,0.00010822,20451053.254283,629702664.16911400
2024-04-20 00:00:00 UTC+0,0.00011009,26286008.465671,641135059.35509180
2024-04-19 00:00:00 UTC+0,0.00010058,25445097.557159,586053170.43611570
2024-04-18 00:00:00 UTC+0,0.00010068,16547227.190377,586297664.46785770
2024-04-17 00:00:00 UTC+0,0.00009833,19523089.442670,572653123.56240220
2024-04-16 00:00:00 UTC+0,0.00010189,27310191.031197,593568305.48109900
2024-04-15 00:00:00 UTC+0,0.00010035,36921266.243302,584605930.88929680
2024-04-14 00:00:00 UTC+0,0.00010334,57902993.261660,601964135.12400300
2024-04-13 00:00:00 UTC+0,0.00009095,75127813.749605,529835401.32590765
2024-04-12 00:00:00 UTC+0,0.00010700,52573620.175497,623551493.72787710
2024-04-11 00:00:00 UTC+0,0.00012946,17411831.694022,753554690.94173530
2024-04-10 00:00:00 UTC+0,0.00013041,24391571.898848,759090063.33561240
2024-04-09 00:00:00 UTC+0,0.00013261,37003781.990042,771845011.29226770
2024-04-08 00:00:00 UTC+0,0.00014213,38568958.154537,827189342.48238440
2024-04-07 00:00:00 UTC+0,0.00013393,17114124.380642,779499425.69613900
2024-04-06 00:00:00 UTC+0,0.00013472,19926159.216521,784023848.35238730
2024-04-05 00:00:00 UTC+0,0.00013411,27507617.752584,780484100.23165930
2024-04-04 00:00:00 UTC+0,0.00013981,25760762.498436,813807216.16733740
2024-04-03 00:00:00 UTC+0,0.00013628,31861560.761673,793664811.19154850
2024-04-02 00:00:00 UTC+0,0.00013704,42313634.366923,798130803.74155760
2024-04-01 00:00:00 UTC+0,0.00015024,42190939.552107,875693808.50265010
2024-03-31 00:00:00 UTC+0,0.00015863,40075564.532826,925408860.29053660
2024-03-30 00:00:00 UTC+0,0.00015170,24431267.640720,885027468.62553430
2024-03-29 00:00:00 UTC+0,0.00015419,36110007.599590,899329952.94972180
2024-03-28 00:00:00 UTC+0,0.00015983,49536309.927119,932283876.19102610
2024-03-27 00:00:00 UTC+0,0.00015298,49507217.820586,892230189.83312440
2024-03-26 00:00:00 UTC+0,0.00016024,82392332.696911,934702472.06216870
2024-03-25 00:00:00 UTC+0,0.00016399,121290492.501318,956348266.73874870
2024-03-24 00:00:00 UTC+0,0.00016151,91211436.574299,941902784.84240410
2024-03-23 00:00:00 UTC+0,0.00015365,149712126.909191,896119362.22264830
2024-03-22 00:00:00 UTC+0,0.00015315,122333816.851831,893276571.00004340
2024-03-21 00:00:00 UTC+0,0.00014289,46934019.040795,833180971.02454380
2024-03-20 00:00:00 UTC+0,0.00014092,51491101.151923,821843771.75403000
2024-03-19 00:00:00 UTC+0,0.00012739,67906592.782984,742962246.36645090
2024-03-18 00:00:00 UTC+0,0.00014073,61459674.235798,820862008.08396730
2024-03-17 00:00:00 UTC+0,0.00014872,49156780.582723,867422462.27115550
